x,inf,une,tbi
01/01/1953,1.790463839,2.7,1.98
01/04/1953,1.521939636,2.566666667,2.153333333
01/07/1953,1.09575842,2.733333333,1.956666667
01/10/1953,0.98779072,3.7,1.473333333
01/01/1954,1.347869032,5.266666667,1.06
01/04/1954,1.293679103,5.8,0.79
01/07/1954,0.929758764,5.966666667,0.883333333
01/10/1954,0.721652616,5.333333333,1.02
01/01/1955,0.667182357,4.733333333,1.223333333
01/04/1955,1.073904465,4.4,1.483333333
01/07/1955,1.783486764,4.1,1.856666667
01/10/1955,2.335131484,4.233333333,2.336666667
01/01/1956,2.923595322,4.033333333,2.326666667
01/04/1956,3.301950799,4.2,2.566666667
01/07/1956,3.66922668,4.133333333,2.583333333
01/10/1956,3.645723947,4.133333333,3.033333333
01/01/1957,3.801627379,3.933333333,3.096666667
01/04/1957,3.529493742,4.1,3.14
01/07/1957,3.209856408,4.233333333,3.353333333
01/10/1957,3.143115879,4.933333333,3.31
01/01/1958,2.875522185,6.3,1.756666667
01/04/1958,2.671825208,7.366666667,0.956666667
01/07/1958,2.237855626,7.333333333,1.68
01/10/1958,1.903934921,6.366666667,2.69
01/01/1959,1.246841366,5.833333333,2.773333333
01/04/1959,1.012433867,5.1,3
01/07/1959,0.963531198,5.266666667,3.54
01/10/1959,1.143392287,5.6,4.23
01/01/1960,1.140783533,5.133333333,3.873333333
01/04/1960,1.36427764,5.233333333,2.993333333
01/07/1960,1.495609115,5.533333333,2.36
01/10/1960,1.534326129,6.266666667,2.306666667
01/01/1961,1.4414664,6.8,2.35
01/04/1961,1.167503158,7,2.303333333
01/07/1961,0.984788621,6.766666667,2.303333333
01/10/1961,0.802858907,6.2,2.46
01/01/1962,1.244460505,5.633333333,2.723333333
01/04/1962,1.374439726,5.533333333,2.716666667
01/07/1962,1.415326589,5.566666667,2.84
01/10/1962,1.455372987,5.533333333,2.813333333
01/01/1963,1.272784353,5.766666667,2.906666667
01/04/1963,1.051258039,5.733333333,2.94
01/07/1963,0.918039234,5.5,3.293333333
01/10/1963,1.218465902,5.566666667,3.496666667
01/01/1964,1.17061818,5.466666667,3.53
01/04/1964,1.384704081,5.2,3.476666667
01/07/1964,1.768430818,5,3.496666667
01/10/1964,1.587675487,4.966666667,3.683333333
01/01/1965,1.709443336,4.9,3.89
01/04/1965,1.873192276,4.666666667,3.873333333
01/07/1965,1.77970799,4.366666667,3.866666667
01/10/1965,2.022824978,4.1,4.166666667
01/01/1966,2.137998016,3.866666667,4.61
01/04/1966,2.581325672,3.833333333,4.586666667
01/07/1966,3.142052603,3.766666667,5.043333333
01/10/1966,3.36372976,3.7,5.21
01/01/1967,3.224111128,3.833333333,4.513333333
01/04/1967,2.956279267,3.833333333,3.66
01/07/1967,2.888287415,3.8,4.3
01/10/1967,3.097944326,3.9,4.753333333
01/01/1968,3.782956987,3.733333333,5.05
01/04/1968,4.257624104,3.566666667,5.52
01/07/1968,4.257608983,3.533333333,5.196666667
01/10/1968,4.548844596,3.4,5.586666667
01/01/1969,4.387995919,3.4,6.093333333
01/04/1969,4.632879276,3.433333333,6.196666667
01/07/1969,5.169109324,3.566666667,7.023333333
01/10/1969,5.063911933,3.566666667,7.353333333
01/01/1970,5.472927952,4.166666667,7.21
01/04/1970,5.504673793,4.766666667,6.676666667
01/07/1970,4.846454013,5.166666667,6.326666667
01/10/1970,4.853638927,5.833333333,5.353333333
01/01/1971,4.989076961,5.933333333,3.84
01/04/1971,4.921788721,5.9,4.25
01/07/1971,5.144755057,6.033333333,5.01
01/10/1971,4.661230487,5.933333333,4.23
01/01/1972,4.624725117,5.766666667,3.436666667
