,trend_loss
0,11667.115
1,11453.752
2,11203.414
3,10881.621
4,10457.809
5,9931.191
6,9342.649
7,8746.763
8,8161.353
9,7575.859
10,6983.615
11,6395.3247
12,5829.327
13,5299.3994
14,4815.211
15,4384.628
16,4010.7422
17,3690.4692
18,3419.282
19,3193.8738
20,3011.502
21,2869.3633
22,2764.171
23,2691.6707
24,2646.2703
25,2621.1882
26,2609.4497
27,2605.2783
28,2604.8682
29,2606.2258
30,2608.5469
31,2611.56
32,2615.0283
33,2618.4565
34,2621.067
35,2622.0327
36,2620.8225
37,2617.4268
38,2612.3354
39,2606.3213
40,2600.1501
41,2594.3447
42,2589.0654
43,2584.1487
44,2579.265
45,2574.1216
46,2568.6035
47,2562.8
48,2556.9355
49,2551.2495
50,2545.9011
51,2540.933
52,2536.3018
53,2531.9543
54,2527.9014
55,2524.2407
56,2521.131
57,2518.726
58,2517.1062
59,2516.2458
60,2516.022
61,2516.2573
62,2516.7756
63,2517.4392
64,2518.1577
65,2518.8706
66,2519.524
67,2520.0532
68,2520.3877
69,2520.4712
70,2520.2793
71,2519.8352
72,2519.1995
73,2518.4524
74,2517.6702
75,2516.91
76,2516.2068
77,2515.5798
78,2515.042
79,2514.6074
80,2514.2883
81,2514.0884
82,2513.9985
83,2513.995
84,2514.0469
85,2514.1228
86,2514.1987
87,2514.261
88,2514.3052
89,2514.3296
90,2514.3323
91,2514.312
92,2514.2678
93,2514.2017
94,2514.1204
95,2514.032
96,2513.9446
97,2513.8635
98,2513.7898
99,2513.7224
100,2513.6602
101,2513.6018
102,2513.5479
103,2513.4988
104,2513.454
105,2513.413
106,2513.3738
107,2513.3347
108,2513.2957
109,2513.2568
110,2513.219
111,2513.1826
112,2513.1465
113,2513.1108
114,2513.073
115,2513.0342
116,2512.9932
117,2512.9502
118,2512.905
119,2512.858
120,2512.8079
121,2512.7554
122,2512.7007
123,2512.644
124,2512.586
125,2512.5269
126,2512.467
127,2512.406
128,2512.344
129,2512.2805
130,2512.2156
131,2512.1487
132,2512.08
133,2512.0083
134,2511.934
135,2511.8562
136,2511.7747
137,2511.6895
138,2511.6
139,2511.506
140,2511.408
141,2511.3047
142,2511.1965
143,2511.0833
144,2510.9639
145,2510.8384
146,2510.7058
147,2510.5664
148,2510.4185
149,2510.2612
150,2510.0947
151,2509.9172
152,2509.728
153,2509.5256
154,2509.308
155,2509.075
156,2508.8235
157,2508.552
158,2508.259
159,2507.9407
160,2507.5952
161,2507.219
162,2506.8086
163,2506.36
164,2505.8694
165,2505.332
166,2504.7437
167,2504.0989
168,2503.3945
169,2502.6262
170,2501.7917
171,2500.89
172,2499.9226
173,2498.8945
174,2497.813
175,2496.6882
176,2495.5332
177,2494.361
178,2493.1843
179,2492.0107
180,2490.8433
181,2489.6794
182,2488.5088
183,2487.319
184,2486.0933
185,2484.8152
186,2483.4692
187,2482.0422
188,2480.5244
189,2478.9094
190,2477.1921
191,2475.3708
192,2473.4443
193,2471.4111
194,2469.2678
195,2467.0085
196,2464.6228
197,2462.0964
198,2459.412
199,2456.5508
200,2453.4932
