,likelihood
0,28625.939453125
1,23961.87109375
2,20327.4140625
3,17402.44921875
4,15009.6884765625
5,13044.3037109375
6,11429.04296875
7,10097.017578125
8,8992.3544921875
9,8070.76416015625
10,7296.46044921875
11,6642.03466796875
12,6085.5546875
13,5609.55322265625
14,5199.35595703125
15,4843.466796875
16,4532.279296875
17,4258.20654296875
18,4015.01806640625
19,3797.77490234375
20,3602.511962890625
21,3426.06396484375
22,3265.847412109375
23,3119.76416015625
24,2986.113525390625
25,2863.483642578125
26,2750.73291015625
27,2646.81298828125
28,2550.8447265625
29,2462.086181640625
30,2379.8759765625
31,2303.602294921875
32,2232.751220703125
33,2166.841552734375
34,2105.418701171875
35,2048.126220703125
36,1994.5870361328125
37,1944.50146484375
38,1897.58447265625
39,1853.5645751953125
40,1812.2119140625
41,1773.316162109375
42,1736.6817626953125
43,1702.12353515625
44,1669.476806640625
45,1638.595458984375
46,1609.32861328125
47,1581.553466796875
48,1555.1485595703125
49,1529.9990234375
50,1506.018310546875
51,1483.1024169921875
52,1461.1728515625
53,1440.169189453125
54,1420.010986328125
55,1400.6363525390625
56,1382.0003662109375
57,1364.056884765625
58,1346.7513427734375
59,1330.05419921875
60,1313.9222412109375
61,1298.33349609375
62,1283.2470703125
63,1268.6287841796875
64,1254.470458984375
65,1240.738525390625
66,1227.4053955078125
67,1214.4521484375
68,1201.8631591796875
69,1189.6204833984375
70,1177.703857421875
71,1166.1009521484375
72,1154.789306640625
73,1143.7655029296875
74,1133.01513671875
75,1122.5238037109375
76,1112.28662109375
77,1102.2860107421875
78,1092.521240234375
79,1082.9793701171875
80,1073.6483154296875
81,1064.52783203125
82,1055.604248046875
83,1046.8719482421875
84,1038.3245849609375
85,1029.95703125
86,1021.7608032226562
87,1013.732666015625
88,1005.8661499023438
89,998.1594848632812
90,990.602783203125
91,983.1925659179688
92,975.9280395507812
93,968.805419921875
94,961.816162109375
95,954.9570922851562
96,948.2289428710938
97,941.6258544921875
98,935.1453247070312
99,928.7839965820312
100,922.5376586914062
101,916.4019165039062
102,910.3809814453125
103,904.4622192382812
104,898.650146484375
105,892.9425048828125
106,887.332275390625
107,881.8204956054688
108,876.4050903320312
109,871.0836791992188
110,865.8526000976562
111,860.7080688476562
112,855.656005859375
113,850.6834716796875
114,845.7987060546875
115,840.9949951171875
116,836.2709350585938
117,831.6275634765625
118,827.0579223632812
119,822.5646362304688
120,818.146728515625
121,813.8028564453125
122,809.52783203125
123,805.322021484375
124,801.1862182617188
125,797.11474609375
126,793.1087036132812
127,789.1693115234375
128,785.292724609375
129,781.476318359375
130,777.7206420898438
131,774.0269165039062
132,770.3925170898438
133,766.8115234375
134,763.2879638671875
135,759.8212280273438
136,756.4105834960938
137,753.050048828125
138,749.7455444335938
139,746.4903564453125
140,743.2847900390625
141,740.1284790039062
142,737.0231323242188
143,733.9635620117188
144,730.9527587890625
145,727.9876098632812
146,725.0682983398438
147,722.1919555664062
148,719.3635864257812
149,716.5740356445312
