,likelihood
0,11652.26953125
1,9679.47265625
2,8141.91796875
3,6930.548828125
4,5969.078125
5,5200.962890625
6,4582.48974609375
7,4080.171875
8,3668.400146484375
9,3327.773681640625
10,3043.5029296875
11,2804.345458984375
12,2601.749755859375
13,2429.081298828125
14,2281.112548828125
15,2153.477294921875
16,2042.4620361328125
17,1944.962158203125
18,1858.4779052734375
19,1781.1004638671875
20,1711.4420166015625
21,1648.494873046875
22,1591.4420166015625
23,1539.531494140625
24,1492.0780029296875
25,1448.4974365234375
26,1408.377197265625
27,1371.4366455078125
28,1337.4017333984375
29,1305.9742431640625
30,1276.8328857421875
31,1249.7325439453125
32,1224.4403076171875
33,1200.75732421875
34,1178.5135498046875
35,1157.558837890625
36,1137.779296875
37,1119.0933837890625
38,1101.4346923828125
39,1084.7384033203125
40,1068.90625
41,1053.82861328125
42,1039.4066162109375
43,1025.5518798828125
44,1012.2146606445312
45,999.3756713867188
46,987.0335693359375
47,975.1770629882812
48,963.7821655273438
49,952.81982421875
50,942.2631225585938
51,932.086669921875
52,922.27099609375
53,912.7951049804688
54,903.6368408203125
55,894.7734375
56,886.1831665039062
57,877.8582763671875
58,869.7875366210938
59,861.9712524414062
60,854.401123046875
61,847.0579833984375
62,839.9283447265625
63,832.9950561523438
64,826.248291015625
65,819.6814575195312
66,813.288330078125
67,807.0557250976562
68,800.9761352539062
69,795.0398559570312
70,789.2467651367188
71,783.5852661132812
72,778.0556030273438
73,772.646240234375
74,767.3536376953125
75,762.1696166992188
76,757.09326171875
77,752.1199340820312
78,747.25048828125
79,742.4776611328125
80,737.7923583984375
81,733.2042846679688
82,728.6984252929688
83,724.2838134765625
84,719.9426879882812
85,715.68603515625
86,711.4987182617188
87,707.3922729492188
88,703.3497924804688
89,699.38232421875
90,695.479248046875
91,691.6381225585938
92,687.8670043945312
93,684.150146484375
94,680.4976806640625
95,676.9003295898438
96,673.3568725585938
97,669.8701171875
98,666.437744140625
99,663.0588989257812
100,659.7271118164062
101,656.4462280273438
102,653.2101440429688
103,650.0269775390625
104,646.8817749023438
105,643.7871704101562
106,640.73193359375
107,637.7213134765625
108,634.7533569335938
109,631.8230590820312
110,628.933349609375
111,626.0841064453125
112,623.2700805664062
113,620.4952392578125
114,617.7566528320312
115,615.05615234375
116,612.3876342773438
117,609.7539672851562
118,607.1554565429688
119,604.5869140625
120,602.0550537109375
121,599.5526123046875
122,597.0787963867188
123,594.6387939453125
124,592.2267456054688
125,589.844482421875
126,587.4923706054688
127,585.165283203125
128,582.8679809570312
129,580.597412109375
130,578.3545532226562
131,576.13916015625
132,573.9468994140625
133,571.7803955078125
134,569.6403198242188
135,567.521240234375
136,565.4305419921875
137,563.361083984375
138,561.315673828125
139,559.2928466796875
140,557.2908935546875
141,555.3117065429688
142,553.3573608398438
143,551.4203491210938
144,549.5059814453125
145,547.613525390625
146,545.7403564453125
147,543.886962890625
148,542.0537109375
149,540.237548828125
150,538.443359375
151,536.6654663085938
152,534.9071044921875
153,533.1675415039062
154,531.4478759765625
155,529.7424926757812
156,528.0554809570312
157,526.3851318359375
158,524.7318725585938
159,523.0956420898438
160,521.4755249023438
161,519.8717041015625
162,518.2825927734375
163,516.7098999023438
164,515.1533813476562
165,513.6101684570312
166,512.0831298828125
167,510.5714416503906
168,509.07220458984375
169,507.58892822265625
170,506.1203308105469
171,504.66339111328125
172,503.2216796875
173,501.7940368652344
174,500.3778991699219
175,498.9757995605469
176,497.5848083496094
177,496.2101745605469
178,494.845947265625
179,493.4925842285156
180,492.1553039550781
181,490.8275146484375
182,489.5132141113281
183,488.20831298828125
184,486.91595458984375
185,485.635986328125
186,484.3653869628906
187,483.1092529296875
188,481.85955810546875
189,480.6244201660156
190,479.3978576660156
191,478.18243408203125
192,476.97857666015625
193,475.7831115722656
194,474.6011047363281
195,473.42474365234375
196,472.261474609375
197,471.1060485839844
198,469.96124267578125
199,468.82635498046875
200,467.6994323730469
201,466.5855712890625
202,465.4783935546875
203,464.39404296875
204,463.37042236328125
205,462.6037292480469
206,462.8386535644531
207,464.0100402832031
208,462.9208984375
209,458.0616455078125
210,459.625732421875
211,458.8126525878906
212,455.29827880859375
213,457.4951477050781
214,453.7698059082031
215,453.7040710449219
216,452.491455078125
217,450.4992370605469
218,450.8038635253906
219,448.2918395996094
220,448.8354187011719
221,446.6662292480469
222,446.1861877441406
223,445.1903381347656
224,443.6949462890625
225,443.5122985839844
226,441.7819519042969
227,441.5517883300781
228,440.3112487792969
229,439.32342529296875
230,438.8002624511719
231,437.37811279296875
232,436.9062194824219
233,435.779541015625
234,434.943603515625
235,434.2433166503906
236,433.12945556640625
237,432.5687255859375
238,431.5433044433594
239,430.7317810058594
240,430.0184020996094
241,429.0082092285156
242,428.341796875
243,427.4715270996094
244,426.6270751953125
245,425.9366455078125
246,425.04559326171875
247,424.3053283691406
248,423.5635070800781
249,422.7084045410156
250,422.0052185058594
251,421.2501525878906
252,420.4309387207031
253,419.7367858886719
254,418.9939270019531
255,418.1971435546875
256,417.5065002441406
257,416.7919616699219
258,416.0128173828125
259,415.3099060058594
260,414.6265563964844
261,413.88079833984375
262,413.1572570800781
263,412.4842834472656
264,411.7938232421875
265,411.0768127441406
266,410.3779602050781
267,409.7140808105469
268,409.0454406738281
269,408.3584899902344
270,407.67144775390625
271,407.00665283203125
272,406.356201171875
273,405.7075500488281
274,405.0487365722656
275,404.3914489746094
276,403.7366638183594
277,403.0943603515625
278,402.4595642089844
279,401.83013916015625
280,401.20947265625
281,400.59381103515625
282,399.98626708984375
283,399.3879699707031
284,398.8216857910156
285,398.28448486328125
286,397.88287353515625
287,397.5369567871094
288,397.72845458984375
289,397.09857177734375
290,397.07843017578125
291,395.1253356933594
292,393.9977111816406
293,393.525390625
294,393.39630126953125
295,393.3349304199219
296,392.09295654296875
297,391.1487731933594
298,390.6445007324219
299,390.3828430175781
300,390.1351013183594
301,389.2056884765625
302,388.3977355957031
303,387.7989196777344
304,387.4127502441406
305,387.12713623046875
306,386.5398864746094
307,385.953857421875
308,385.2132568359375
309,384.5890808105469
310,384.0775451660156
311,383.6400146484375
312,383.251953125
313,382.7540283203125
314,382.2802734375
315,381.66064453125
316,381.0876770019531
317,380.51068115234375
318,379.9739074707031
319,379.4720764160156
320,378.994384765625
321,378.54107666015625
322,378.10009765625
323,377.7192687988281
324,377.31622314453125
325,377.1095275878906
326,376.67303466796875
327,376.6351623535156
328,375.78350830078125
329,375.3134765625
330,374.4434814453125
331,373.8006591796875
332,373.2459411621094
333,372.79541015625
334,372.42742919921875
335,372.0744934082031
336,371.8193054199219
337,371.35955810546875
338,371.0760498046875
339,370.44281005859375
340,370.0049743652344
341,369.3948059082031
342,368.9079284667969
343,368.391845703125
344,367.931396484375
345,367.47235107421875
346,367.0396728515625
347,366.60943603515625
348,366.2103271484375
349,365.82098388671875
350,365.5262756347656
351,365.2457275390625
352,365.3665466308594
353,364.9541931152344
354,365.3647766113281
355,363.7795715332031
356,362.9791564941406
357,362.3940124511719
358,362.05926513671875
359,361.926025390625
360,361.6683349609375
361,361.6244201660156
362,360.7742919921875
363,360.1801452636719
364,359.6213073730469
365,359.212158203125
366,358.91766357421875
367,358.65301513671875
368,358.5157470703125
369,358.0591735839844
370,357.7967224121094
371,357.1706237792969
372,356.71392822265625
373,356.21258544921875
374,355.78533935546875
375,355.38397216796875
376,355.0074768066406
377,354.649169921875
378,354.3046569824219
379,353.9956970214844
380,353.7030944824219
381,353.561279296875
382,353.3182067871094
383,353.59393310546875
384,352.79473876953125
385,352.6349792480469
386,351.7314147949219
387,351.21221923828125
388,350.720947265625
389,350.3245544433594
390,349.9844055175781
391,349.6812744140625
392,349.4356994628906
393,349.17718505859375
394,349.10302734375
395,348.7275390625
396,348.72119140625
397,348.02203369140625
398,347.68890380859375
399,347.1162109375
400,346.7178955078125
401,346.30810546875
402,345.9488830566406
