,trend_loss
0,11046.25
1,10787.594
2,10495.986
3,10140.792
4,9684.822
5,9106.368
6,8456.037
7,7822.0977
8,7241.28
9,6702.287
10,6190.1997
11,5703.309
12,5246.8643
13,4825.231
14,4440.4995
15,4094.0312
16,3787.02
17,3520.1858
18,3293.5264
19,3106.0205
20,2954.935
21,2835.4182
22,2741.619
23,2668.4824
24,2612.2974
25,2570.2256
26,2539.8562
27,2519.0017
28,2505.581
29,2497.5542
30,2492.959
31,2490.089
32,2487.7363
33,2485.3352
34,2482.923
35,2480.9094
36,2479.6975
37,2479.2576
38,2478.9253
39,2477.8108
40,2475.4253
41,2471.8599
42,2467.5757
43,2463.1067
44,2458.8423
45,2454.9373
46,2451.3489
47,2447.9377
48,2444.5708
49,2441.183
50,2437.7925
51,2434.4707
52,2431.3062
53,2428.367
54,2425.687
55,2423.267
56,2421.0957
57,2419.1692
58,2417.5017
59,2416.1233
60,2415.0671
61,2414.3506
62,2413.9612
63,2413.8538
64,2413.9592
65,2414.1995
66,2414.5037
67,2414.8164
68,2415.1038
69,2415.345
70,2415.5264
71,2415.6362
72,2415.6624
73,2415.5947
74,2415.4307
75,2415.179
76,2414.8577
77,2414.4922
78,2414.1099
79,2413.7324
80,2413.3752
81,2413.0444
82,2412.743
83,2412.4707
84,2412.226
85,2412.009
86,2411.8171
87,2411.646
88,2411.4875
89,2411.332
90,2411.169
91,2410.989
92,2410.7854
93,2410.5537
94,2410.2913
95,2409.9966
96,2409.667
97,2409.2998
98,2408.8928
99,2408.4448
100,2407.955
101,2407.4236
102,2406.8538
103,2406.246
104,2405.6045
105,2404.9324
106,2404.2336
107,2403.5137
108,2402.7793
109,2402.0366
110,2401.2915
111,2400.5479
112,2399.8071
113,2399.0674
114,2398.3235
115,2397.5684
116,2396.7922
117,2395.9849
118,2395.136
119,2394.2341
120,2393.2705
121,2392.2373
122,2391.1277
123,2389.937
124,2388.6619
125,2387.2988
126,2385.848
127,2384.3054
128,2382.67
129,2380.939
130,2379.1104
131,2377.1826
132,2375.155
133,2373.0278
134,2370.8008
135,2368.4712
136,2366.0334
137,2363.4807
138,2360.8047
139,2357.997
140,2355.043
141,2351.9175
142,2348.5847
143,2344.9998
144,2341.1143
145,2336.8765
146,2332.253
147,2327.258
148,2321.996
149,2316.6504
150,2311.3372
151,2305.8645
152,2299.656
153,2291.915
154,2282.092
155,2271.3167
156,2260.3845
157,2247.8826
158,2233.708
159,2215.1035
160,2195.7964
161,2179.5947
162,2169.5435
163,2156.3074
164,2119.078
165,2118.5298
166,2134.4443
167,2076.0784
168,2190.529
169,2066.1936
170,2180.8398
171,2167.26
172,2081.4548
173,2023.7089
174,2049.9773
175,2090.6328
176,2056.569
177,1992.704
178,1966.6421
179,1972.0598
180,1969.546
181,1940.2112
182,1888.1749
183,1839.9596
184,1822.0991
185,1805.6442
186,1766.693
187,1757.7755
188,1761.8933
189,1731.7986
190,1726.3615
191,1732.2567
192,1700.9363
193,1705.1404
194,1697.6674
195,1677.0234
196,1676.0792
197,1673.6119
198,1662.0361
199,1652.6278
200,1650.5837
201,1647.6469
202,1639.1699
203,1632.2556
204,1629.5099
205,1626.6083
206,1620.0537
207,1613.2283
208,1608.5217
209,1603.0258
210,1593.7109
211,1581.9033
212,1569.9993
213,1557.275
214,1544.2649
215,1537.519
216,1532.2495
217,1519.7278
218,1503.636
219,1489.7152
220,1477.3423
221,1468.9147
222,1461.3242
223,1451.8696
224,1442.7421
225,1431.8617
226,1422.5377
227,1414.755
228,1407.0422
229,1399.9006
230,1390.1309
231,1381.1261
232,1372.2925
233,1364.3105
234,1356.9417
235,1348.5485
236,1340.47
237,1332.0068
238,1324.6531
239,1317.1278
240,1309.8258
241,1301.8599
242,1294.2686
243,1286.7283
244,1279.6687
245,1272.1926
246,1264.5289
247,1256.4487
248,1248.6299
249,1240.7673
250,1232.8511
251,1224.3256
252,1215.4213
253,1206.0312
254,1196.3279
255,1186.0385
256,1175.4316
257,1164.8738
258,1154.9236
259,1145.6769
260,1137.1602
261,1129.3221
262,1121.8988
263,1114.4175
264,1106.5527
265,1098.4462
266,1090.1877
267,1081.8201
268,1073.3696
269,1065.1447
270,1057.2816
271,1049.7449
272,1042.3933
273,1035.2002
274,1028.1066
275,1020.9624
276,1013.6642
277,1006.21606
278,998.67
279,991.01086
280,983.2531
281,975.4575
282,967.7117
283,960.0333
284,952.42267
285,944.9097
286,937.5534
287,930.3545
288,923.28314
289,916.321
290,909.46277
291,902.66296
292,895.87915
293,889.10767
294,882.3559
295,875.61206
296,868.89966
297,862.25024
298,855.66223
299,849.14215
300,842.7096
301,836.34985
302,830.0676
303,823.8757
304,817.7657
305,811.7489
306,805.8188
307,799.9546
308,794.1516
309,788.38574
310,782.65265
