,likelihood
0,18281.21875
1,15744.365234375
2,12132.1748046875
3,10612.091796875
4,9898.482421875
5,8959.021484375
6,7960.70263671875
7,7226.1416015625
8,6788.701171875
9,6426.3642578125
10,5966.54248046875
11,5442.1181640625
12,4983.95751953125
13,4668.18359375
14,4454.92333984375
15,4248.66796875
16,4003.96044921875
17,3756.6787109375
18,3566.415283203125
19,3448.43115234375
20,3361.440673828125
21,3257.030517578125
22,3129.018798828125
23,3009.501708984375
24,2927.51318359375
25,2877.526123046875
26,2828.063720703125
27,2757.854248046875
28,2675.832763671875
29,2605.439208984375
30,2557.43115234375
31,2521.130859375
32,2479.02294921875
33,2425.641845703125
34,2370.21142578125
35,2324.300537109375
36,2289.607421875
37,2258.5908203125
38,2223.749267578125
39,2185.17724609375
40,2148.3623046875
41,2117.49365234375
42,2091.423828125
43,2066.08935546875
44,2039.0909423828125
45,2011.6138916015625
46,1986.2255859375
47,1963.8653564453125
48,1943.377685546875
49,1922.9268798828125
50,1902.0970458984375
51,1881.8895263671875
52,1863.2091064453125
53,1845.8914794921875
54,1829.0296630859375
55,1811.9649658203125
56,1795.0625
57,1779.0009765625
58,1764.0279541015625
59,1749.632080078125
60,1735.274658203125
61,1720.8145751953125
62,1706.7418212890625
63,1693.451171875
64,1680.81787109375
65,1668.4415283203125
66,1655.9959716796875
67,1643.6285400390625
68,1631.6806640625
69,1620.3394775390625
70,1609.3983154296875
71,1598.5565185546875
72,1587.73779296875
73,1577.0966796875
74,1566.8564453125
75,1556.992919921875
76,1547.34716796875
77,1537.77880859375
78,1528.2896728515625
79,1519.048095703125
80,1510.087646484375
81,1501.3369140625
82,1492.71337890625
83,1484.18701171875
84,1475.786376953125
85,1467.616455078125
86,1459.6304931640625
87,1451.754150390625
88,1443.981201171875
89,1436.377685546875
90,1428.886474609375
91,1421.530029296875
92,1414.3333740234375
93,1407.2415771484375
94,1400.26708984375
95,1393.4036865234375
96,1386.638671875
97,1379.9945068359375
98,1373.5220947265625
99,1367.0706787109375
100,1360.7587890625
101,1354.5679931640625
102,1348.4609375
103,1342.4464111328125
104,1336.5472412109375
105,1330.727294921875
106,1325.002685546875
107,1319.3543701171875
108,1313.8187255859375
109,1308.362060546875
110,1302.9920654296875
111,1297.697509765625
112,1292.4774169921875
113,1287.3392333984375
114,1282.2969970703125
115,1277.3031005859375
116,1272.4034423828125
117,1267.5718994140625
118,1262.8001708984375
119,1258.115478515625
120,1253.4888916015625
121,1248.9217529296875
122,1244.4268798828125
123,1240.0037841796875
124,1235.6470947265625
125,1231.3388671875
126,1227.08154296875
127,1222.9090576171875
128,1218.779296875
129,1214.6982421875
130,1210.668212890625
131,1206.694580078125
132,1202.814208984375
133,1198.92431640625
134,1195.1158447265625
135,1191.3677978515625
136,1187.658447265625
137,1183.9781494140625
138,1180.3228759765625
139,1176.7864990234375
140,1173.2225341796875
141,1169.7257080078125
142,1166.2889404296875
143,1162.8477783203125
144,1159.5338134765625
145,1156.1536865234375
146,1152.9014892578125
147,1149.5953369140625
148,1146.4481201171875
149,1143.2210693359375
150,1140.1536865234375
151,1136.972412109375
152,1133.957275390625
153,1130.8973388671875
154,1127.944580078125
155,1124.904541015625
156,1122.0653076171875
157,1119.13134765625
158,1116.32177734375
159,1113.37744140625
160,1110.7122802734375
161,1107.8775634765625
162,1105.2122802734375
163,1102.36328125
164,1099.8699951171875
165,1097.0582275390625
166,1094.5648193359375
167,1091.827392578125
168,1089.4129638671875
169,1086.7047119140625
170,1084.2950439453125
171,1081.7193603515625
172,1079.343505859375
173,1076.8323974609375
174,1074.478515625
175,1072.033447265625
176,1069.7061767578125
177,1067.2874755859375
178,1065.0350341796875
179,1062.6868896484375
180,1060.4658203125
181,1058.174560546875
182,1055.9462890625
183,1053.7822265625
184,1051.4722900390625
185,1049.2159423828125
186,1047.7431640625
187,1045.6739501953125
188,1043.68994140625
189,1040.81982421875
190,1040.0850830078125
191,1036.749267578125
192,1035.4622802734375
193,1033.4404296875
194,1030.740966796875
195,1028.915283203125
196,1027.2147216796875
197,1024.5330810546875
198,1022.9732055664062
199,1020.9650268554688
200,1018.831787109375
201,1017.2597045898438
202,1014.98583984375
203,1013.413330078125
204,1011.3992919921875
205,1009.4050903320312
206,1007.8970336914062
207,1005.8248291015625
208,1004.1363525390625
209,1002.4122924804688
210,1000.4794921875
211,998.8944091796875
212,997.045166015625
213,995.3396606445312
214,993.6991577148438
215,991.8997192382812
216,990.3311767578125
217,988.5669555664062
218,987.0011596679688
219,985.3366088867188
220,983.6682739257812
221,982.0905151367188
222,980.4255981445312
223,978.8956298828125
224,977.2559814453125
225,975.7314453125
226,974.136474609375
227,972.6311645507812
228,971.0994873046875
229,969.6539306640625
230,968.1177978515625
231,966.6329956054688
232,965.0360107421875
233,963.5658569335938
234,962.15869140625
235,960.6218872070312
236,959.112548828125
237,957.705078125
238,956.2542724609375
239,954.790771484375
240,953.3058471679688
241,951.8983154296875
242,950.47314453125
243,948.97705078125
244,947.5068359375
245,946.0171508789062
246,944.5322265625
247,942.9810180664062
248,941.3709106445312
249,939.7088012695312
250,937.9684448242188
251,936.2090454101562
252,934.412353515625
253,932.6976928710938
254,931.1212158203125
255,929.39599609375
256,927.8580932617188
257,926.3243408203125
258,924.8267822265625
259,923.37060546875
260,922.1195678710938
261,920.8558349609375
262,919.6223754882812
263,918.3208618164062
264,916.9999389648438
265,915.8128662109375
266,914.605224609375
267,913.3946533203125
268,912.1688842773438
269,910.9890747070312
270,909.87451171875
271,908.6466064453125
272,907.5327758789062
273,906.3025512695312
274,905.0291748046875
275,903.7937622070312
276,902.6600341796875
277,901.5825805664062
278,900.4237060546875
279,899.2551879882812
280,898.17041015625
281,897.1080322265625
282,896.01025390625
283,894.9030151367188
284,893.8355102539062
285,892.7806396484375
286,891.7034912109375
287,890.633056640625
288,889.5728759765625
289,888.5579833984375
290,887.5017700195312
291,886.4288940429688
292,885.3648681640625
293,884.4052734375
294,883.3358764648438
295,882.2454223632812
296,881.1743774414062
297,880.4082641601562
298,879.4532470703125
299,878.2434692382812
300,877.274169921875
301,876.2348022460938
302,875.2542724609375
303,874.2206420898438
