,trend_loss
0,7899734.0
1,7882483.5
2,7862034.0
3,7835044.0
4,7796625.0
5,7743413.5
6,7679378.0
7,7613642.0
8,7549236.0
9,7484679.0
10,7418847.0
11,7351752.5
12,7284407.0
13,7217686.0
14,7151060.5
15,7083526.5
16,7014665.5
17,6944639.0
18,6874246.0
19,6804757.0
20,6736883.5
21,6670269.0
22,6604444.5
23,6539331.5
24,6475024.0
25,6411620.5
26,6349168.0
27,6287661.5
28,6227060.0
29,6167303.0
30,6108325.0
31,6050065.5
32,5992470.0
33,5935497.0
34,5879112.5
35,5823291.5
36,5768014.0
37,5713266.5
38,5659036.0
39,5605315.5
40,5552099.5
41,5499380.0
42,5447155.0
43,5395417.5
44,5344166.0
45,5293396.5
46,5243103.5
47,5193284.5
48,5143935.5
49,5095052.0
50,5046630.0
51,4998665.0
52,4951153.5
53,4904090.5
54,4857471.5
55,4811291.5
56,4765546.5
57,4720231.5
58,4675342.0
59,4630873.5
60,4586821.0
61,4543179.5
62,4499946.0
63,4457114.5
64,4414680.5
65,4372640.0
66,4330988.5
67,4289722.0
68,4248834.5
69,4208324.0
70,4168185.0
71,4128413.5
72,4089005.5
73,4049957.5
74,4011265.0
75,3972924.2
76,3934932.0
77,3897283.5
78,3859976.0
79,3823005.5
80,3786369.5
81,3750063.0
82,3714083.8
83,3678427.5
84,3643092.2
85,3608074.0
86,3573369.8
87,3538976.5
88,3504891.0
89,3471110.5
90,3437632.5
91,3404453.5
92,3371570.8
93,3338981.8
94,3306683.8
95,3274674.2
96,3242950.2
97,3211509.0
98,3180348.8
99,3149466.5
100,3118859.8
101,3088526.2
102,3058463.8
103,3028669.5
104,2999141.5
105,2969877.0
106,2940874.2
107,2912131.0
108,2883645.0
109,2855414.0
110,2827435.8
111,2799708.5
112,2772230.0
113,2744997.8
114,2718010.8
115,2691266.2
116,2664762.2
117,2638497.0
118,2612468.5
119,2586674.8
120,2561114.5
121,2535785.0
122,2510684.8
123,2485812.0
124,2461164.8
125,2436741.0
126,2412540.0
127,2388558.8
128,2364796.5
129,2341250.8
130,2317920.0
131,2294802.8
132,2271897.5
133,2249201.8
134,2226714.8
135,2204434.5
136,2182359.2
137,2160487.8
138,2138818.0
139,2117349.0
140,2096078.4
141,2075005.1
142,2054127.5
143,2033444.2
144,2012953.5
145,1992653.8
146,1972543.9
147,1952622.1
148,1932887.0
149,1913337.0
150,1893970.9
151,1874787.0
152,1855784.2
153,1836960.8
154,1818315.0
155,1799846.5
156,1781552.9
157,1763433.1
158,1745486.1
159,1727710.1
160,1710103.8
161,1692666.0
162,1675395.4
163,1658290.5
164,1641349.9
165,1624572.6
166,1607957.1
167,1591502.1
168,1575206.6
169,1559069.0
170,1543087.9
171,1527262.2
172,1511591.2
173,1496073.0
174,1480706.1
175,1465490.2
176,1450423.4
177,1435504.8
178,1420732.8
179,1406106.9
180,1391625.0
181,1377286.8
182,1363090.4
183,1349035.0
184,1335119.6
185,1321342.8
186,1307703.4
187,1294200.5
188,1280832.9
189,1267599.1
190,1254498.6
191,1241529.8
192,1228691.9
193,1215983.6
194,1203404.1
195,1190952.1
196,1178626.4
197,1166426.0
198,1154349.9
199,1142397.2
200,1130566.9
201,1118857.5
202,1107268.5
203,1095798.2
204,1084446.4
205,1073211.5
206,1062092.8
207,1051089.0
208,1040199.56
209,1029422.9
210,1018758.5
211,1008205.25
212,997762.1
213,987428.4
214,977202.5
215,967084.3
216,957072.44
217,947165.75
218,937363.56
219,927665.06
220,918069.25
221,908575.1
222,899181.75
223,889888.44
224,880694.0
225,871597.94
226,862598.9
227,853696.3
228,844889.4
229,836176.94
230,827558.25
231,819032.5
232,810599.1
233,802256.7
234,794004.9
235,785842.56
236,777769.06
237,769783.44
238,761885.0
239,754072.8
240,746346.25
241,738704.56
242,731146.7
243,723671.94
244,716279.7
245,708968.94
246,701739.1
247,694589.5
248,687518.94
249,680527.1
250,673613.2
251,666776.3
252,660015.8
253,653330.94
254,646721.06
255,640185.4
256,633723.0
257,627333.75
258,621016.4
259,614770.5
260,608595.2
261,602489.9
262,596454.06
263,590486.8
264,584587.56
265,578755.7
266,572990.5
267,567291.25
268,561657.4
269,556088.4
270,550583.25
271,545141.75
272,539762.94
273,534446.3
274,529191.5
275,523997.44
276,518863.7
277,513789.84
278,508775.16
279,503818.9
280,498920.78
281,494079.84
282,489295.88
283,484568.0
284,479895.97
285,475278.8
286,470716.38
287,466207.88
288,461752.62
289,457350.4
290,453000.5
291,448702.38
292,444455.5
293,440259.25
294,436113.3
295,432017.12
296,427969.97
297,423971.5
298,420021.25
299,416118.56
300,412263.1
301,408454.16
302,404691.47
303,400974.47
304,397302.47
305,393675.38
306,390092.44
307,386553.25
308,383057.4
309,379604.38
310,376193.75
311,372825.0
312,369497.75
313,366211.6
314,362965.88
315,359760.4
316,356594.66
317,353468.2
318,350380.62
319,347331.4
320,344320.28
321,341346.75
322,338410.44
323,335510.88
324,332647.62
325,329820.5
326,327028.9
327,324272.47
328,321550.9
329,318863.72
330,316210.56
331,313591.12
332,311004.94
333,308451.62
334,305930.9
335,303442.4
336,300985.7
337,298560.44
338,296166.25
339,293802.88
340,291469.9
341,289167.03
342,286893.84
343,284650.06
344,282435.28
345,280249.28
346,278091.7
347,275962.12
348,273860.38
349,271785.97
350,269738.7
351,267718.22
352,265724.28
353,263756.4
354,261814.56
355,259898.19
356,258007.17
357,256141.17
358,254299.75
359,252482.78
360,250690.0
361,248921.03
362,247175.56
363,245453.39
364,243754.2
365,242077.83
366,240423.84
367,238792.05
368,237182.23
369,235594.08
370,234027.3
371,232481.69
372,230956.97
373,229452.94
374,227969.31
375,226505.81
376,225062.25
377,223638.33
378,222233.86
379,220848.58
380,219482.25
381,218134.72
382,216805.67
383,215494.86
384,214202.16
385,212927.25
386,211669.98
387,210430.08
388,209207.4
389,208001.69
390,206812.72
391,205640.34
392,204484.25
393,203344.34
394,202220.36
395,201112.17
396,200019.53
397,198942.22
398,197880.0
399,196832.81
400,195800.45
401,194782.64
402,193779.23
403,192790.06
404,191814.94
405,190853.7
406,189906.11
407,188972.1
408,188051.4
409,187143.84
410,186249.33
411,185367.64
412,184498.61
413,183642.12
414,182797.98
415,181966.0
416,181146.1
417,180338.0
418,179541.64
419,178756.89
420,177983.55
421,177221.47
422,176470.48
423,175730.48
424,175001.31
425,174282.84
426,173574.9
427,172877.42
428,172190.14
429,171513.02
430,170845.86
431,170188.61
432,169541.08
433,168903.16
434,168274.72
435,167655.61
436,167045.73
437,166444.92
438,165853.16
439,165270.2
440,164696.0
441,164130.39
442,163573.3
443,163024.56
444,162484.14
445,161951.86
446,161427.62
447,160911.33
448,160402.84
449,159902.1
450,159408.98
451,158923.36
452,158445.16
453,157974.23
454,157510.53
455,157053.9
456,156604.33
457,156161.64
458,155725.75
459,155296.56
460,154874.0
461,154457.97
462,154048.4
463,153645.17
464,153248.2
465,152857.4
466,152472.66
467,152093.95
468,151721.11
469,151354.12
470,150992.86
471,150637.28
472,150287.28
473,149942.8
474,149603.69
475,149269.95
476,148941.47
477,148618.22
478,148300.05
479,147986.94
480,147678.8
481,147375.56
482,147077.16
483,146783.5
484,146494.52
485,146210.19
486,145930.39
487,145655.08
488,145384.2
489,145117.66
490,144855.42
491,144597.4
492,144343.56
493,144093.84
494,143848.11
495,143606.39
496,143368.61
497,143134.69
498,142904.58
499,142678.23
500,142455.56
501,142236.53
502,142021.08
503,141809.17
504,141600.72
505,141395.73
506,141194.1
507,140995.8
508,140800.77
509,140608.97
510,140420.33
511,140234.81
512,140052.39
513,139873.0
514,139696.6
515,139523.12
